,id,blitz_games,blitz_rating,rapid_games,rapid_rating,bullet_games,bullet_rating,country
168,nil_0-omm,167,1026,160,1133,185,1106,IN
169,arsen1c,420,1199,943,1667,163,1132,IN
170,stefanadrian,348,1047,413,1315,280,937,RO
171,luukasa,702,1182,120,1242,555,1187,FI
172,sashwinakashsk,135,1136,144,1171,101,817,IN
173,letikol,436,1200,149,1237,449,1097,US
174,hitakrit,657,1009,1006,1128,754,1276,IN
175,kalpurush,135,1093,190,1245,134,944,BD
176,savagefinds,766,1183,331,1551,241,894,US
177,jeremiahparker,106,1063,101,1317,310,1134,US
178,kaya0708,382,1007,273,1185,133,914,TR
179,arush290810,139,1013,212,1100,510,1148,IN
180,rooppesh,627,1061,211,1264,582,1217,IN
181,micromateo,873,1009,240,1160,678,1004,CA
182,sync1,1345,1164,318,1393,162,1073,TN
183,c_hermens,340,1168,267,1572,294,1174,NZ
184,levi_fl,351,1107,363,1184,134,965,IE
185,arushvemuri,116,1095,213,1083,128,851,US
186,joemie,317,1120,295,1303,939,1141,DE
187,rajattiwari204,237,1029,531,1283,414,967,IN
188,hsc_anma,331,1059,102,1144,106,1095,AU
189,radjorey,608,1195,406,1543,277,944,PH
190,stoeree,221,1148,1288,1731,303,1385,BE
191,silenticecream,381,1130,400,1535,116,1245,AU
192,serdarates,377,1063,136,1319,447,1110,TR
193,valeig33,162,1074,193,1348,1562,1346,BR
194,girishsharma2096,624,1184,156,1450,890,1252,IN
195,shridhar_rao,246,1146,133,1441,116,992,IN
196,mark22112013,415,1075,153,1339,251,1111,RU
197,kvikrant,152,1181,845,1508,203,1017,IN
198,mayukhsen7,210,1092,716,1429,204,997,IN
199,joshinbaja,1735,1109,382,1241,115,891,MX
200,deguus,251,1047,750,1577,205,958,NL
201,boonie2000,749,1120,500,1461,211,1250,UA
202,lizathecarino,813,1193,1093,1239,289,1121,BD
203,oceanbetweenus,747,1044,317,1321,471,1035,AQ
204,siddharthralse,734,1107,325,1397,278,1127,IN
205,drewtate,427,1147,123,1289,292,999,BA
206,skitsammaaa,345,1198,265,1556,299,1266,SE
207,yorkshireboi,236,1091,341,1448,237,1138,GB
208,cheungbat68,555,1176,275,982,628,1258,GB
209,ruzgaryengel,154,1156,146,1397,204,1312,TR
210,statcat,452,1185,677,1473,260,1106,GB
211,reyanshthukral007,160,1136,1145,1251,121,958,IN
212,avyukt1001,214,1162,812,1278,790,1316,IN
213,sartak12,211,1093,421,1186,522,1098,IN
214,darkpeter,670,1180,227,1257,223,1039,HU
215,zeldamazzy,386,1195,119,1347,537,943,US
