,gameid,white_id,white_rating,white_country,white_games,white_win_last_10,white_inaccuracies,white_mistakes,white_blunder,white_acpl,black_id,black_rating,black_country,black_games,black_win_last_10,black_inaccuracies,black_mistakes,black_blunder,black_acpl,game_type,opening,winner,win_by
2180,dWKWvxDx,marri-mahender,1927,IN,8140.0,8,1,0,6,175,ritvik2013,1424,US,769.0,7,1,5,6,142,blitz,Indian Defense: Normal Variation,black,outoftime
2181,5NV4mr8J,jnarula,1765,CA,822.0,4,0,1,1,86,funnyjohnli,2154,CA,66.0,5,0,0,0,11,rapid,"Italian Game: Classical Variation, Albin Gambit",black,mate
2182,NWrZ8OT9,raoh38,1743,FR,1342.0,3,2,1,3,42,jnarula,1746,CA,822.0,4,2,0,2,27,rapid,"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line",black,mate
2183,Vilcb4fK,janoliverbisa,1659,CA,26.0,6,7,0,4,54,jnarula,1757,CA,822.0,6,3,4,4,78,rapid,Italian Game: Schilling-Kostic Gambit,white,mate
2184,opHQ2IWS,jnarula,1423,CA,271.0,5,1,0,3,54,remingtron,1352,US,608.0,3,2,1,3,95,blitz,Giuoco Piano,white,resign
2185,RTeikFYg,strangify,1667,UZ,3193.0,7,7,2,3,97,cornetto,1706,ES,758.0,7,8,2,1,65,rapid,King's Gambit Declined: Queen's Knight Defense,black,resign
2186,Fg6Yflou,dmiclass777,2089,RU,5444.0,7,2,3,5,100,strangify,1594,UZ,3193.0,5,4,0,4,74,rapid,Russian Game: Three Knights Game,black,mate
2187,Dm5rPDie,strangify,1551,UZ,3007.0,4,0,1,1,66,tankman,1567,DE,99342.0,5,0,0,0,11,bullet,Sicilian Defense: Bowdler Attack,black,resign
2188,NrIXAQFI,edwardlion76,1544,DE,2369.0,3,7,0,5,103,victoriabitterthirst,1687,AU,325.0,6,6,3,1,77,rapid,"Slav Defense: Quiet Variation, Pin Defense",black,mate
2189,yqk0UYFk,victoriabitterthirst,1663,AU,325.0,6,4,2,2,70,kaan45,1708,TR,702.0,9,6,3,0,38,rapid,Old Indian Defense,black,resign
2190,Zi9KTlvy,ukraina84,1987,UA,3721.0,7,4,1,2,45,victoriabitterthirst,1659,AU,325.0,6,3,3,1,80,rapid,Bishop's Opening: Vienna Hybrid,white,resign
2191,MC0evwjR,det_conan,1482,IN,579.0,7,5,3,0,28,whomstdid,1502,FI,1116.0,6,7,4,2,48,blitz,King's Pawn Game: Maróczy Defense,white,mate
2192,O7eNFOxS,whomstdid,1553,FI,187.0,9,8,3,7,115,global_eyes,1437,AU,1122.0,4,5,4,7,117,rapid,Modern Defense,white,resign
2193,6JBxSAny,dakjs,1527,CH,74.0,1,3,4,4,154,whomstdid,1523,FI,187.0,9,4,3,2,119,rapid,"Italian Game: Classical Variation, Giuoco Pianissimo",black,resign
2194,UVy8tBOn,salew,1412,ET,1693.0,4,3,0,2,77,whomstdid,1417,FI,1116.0,8,2,0,5,116,blitz,Italian Game: Anti-Fried Liver Defense,white,mate
2195,rgdtf4ck,thaumazo-1983,1438,EU,13479.0,9,10,0,1,37,whomstdid,1451,FI,1116.0,9,7,4,2,69,blitz,Dutch Defense,white,mate
2196,z2pyDLQn,pajs,1474,PL,596.0,5,4,0,4,70,whomstdid,1447,FI,187.0,7,7,3,3,45,rapid,"Ruy Lopez: Morphy Defense, Anderssen Variation",black,resign
2197,azgXDY8X,whomstdid,1387,FI,1116.0,7,5,0,2,46,thaumazo-1983,1355,EU,13479.0,6,1,0,0,12,blitz,Indian Defense,black,mate
2198,sSQDJrR5,pujari12345,1576,IN,467.0,2,3,1,3,149,jisu101,1135,BE,197.0,2,3,0,2,101,bullet,Italian Game: Rosentreter Gambit,black,mate
2199,cPtirpfp,tejachess,2153,IN,3875.0,9,3,0,0,27,pujari12345,1579,IN,467.0,4,3,0,2,73,bullet,Queen's Gambit Declined: Three Knights Variation,white,resign
